ts,true_deg,tag,frame,u,v,depth_m,angle_image,angle_floor,n_x,n_y,n_z,plane_d,elong
1788402888.40,0.0,center,0,343,211,0.277,0.0,-0.1,-0.003,-0.294,-0.956,0.307,1.10
1788402888.75,0.0,center,1,342,211,0.277,0.0,0.1,0.004,-0.276,-0.961,0.311,1.10
1788402889.05,0.0,center,2,343,211,0.277,0.0,-0.1,-0.004,-0.285,-0.958,0.310,1.10
1788402889.35,0.0,center,3,343,211,0.277,0.0,0.1,0.004,-0.281,-0.960,0.311,1.10
1788402889.69,0.0,center,4,343,211,0.277,0.0,0.1,-0.003,0.282,0.960,-0.311,1.10
1788402890.01,0.0,center,5,343,211,0.277,0.0,0.2,0.005,-0.304,-0.953,0.305,1.10
1788402970.56,15.0,center,0,338,209,0.277,-6.3,6.2,0.007,-0.272,-0.962,0.311,1.17
1788402970.86,15.0,center,1,338,209,0.277,-11.3,11.2,0.001,0.287,0.958,-0.310,1.11
1788402971.18,15.0,center,2,338,209,0.277,-14.0,8.4,0.002,-0.283,-0.959,0.310,1.08
1788402971.55,15.0,center,3,338,209,0.277,-12.1,11.7,-0.004,0.290,0.957,-0.309,1.15
1788402971.90,15.0,center,4,338,209,0.277,-11.3,11.1,0.008,-0.296,-0.955,0.308,1.15
1788402972.31,15.0,center,5,338,209,0.277,-14.0,11.5,-0.003,-0.282,-0.959,0.310,1.12
1788403045.04,15.0,center,0,337,210,0.277,-5.7,4.0,0.003,-0.289,-0.957,0.309,1.15
1788403045.38,15.0,center,1,338,211,0.277,0.0,-0.1,-0.004,-0.294,-0.956,0.308,1.29
1788403045.69,15.0,center,2,338,211,0.277,0.0,0.2,0.006,-0.287,-0.958,0.308,1.29
1788403046.02,15.0,center,3,338,211,0.277,0.0,-0.0,-0.001,-0.294,-0.956,0.308,1.29
1788403046.33,15.0,center,4,337,211,0.277,0.0,0.2,-0.001,-0.288,-0.958,0.309,1.22
1788403046.65,15.0,center,5,337,211,0.277,0.0,-0.0,-0.002,-0.286,-0.958,0.309,1.29
1788403178.99,15.0,center,0,338,211,0.277,-8.7,8.4,-0.000,0.282,0.959,-0.308,1.32
1788403179.30,15.0,center,1,338,211,0.277,-7.1,7.1,-0.001,0.299,0.954,-0.306,1.32
1788403179.70,15.0,center,2,338,211,0.277,0.0,0.2,0.001,0.283,0.959,-0.310,1.27
1788403180.06,15.0,center,3,338,211,0.277,-7.1,7.1,0.002,-0.285,-0.958,0.309,1.28
1788403180.41,15.0,center,4,338,211,0.277,-8.1,7.9,0.004,0.288,0.958,-0.309,1.31
1788403181.26,15.0,center,5,338,211,0.277,-8.1,8.0,-0.000,-0.285,-0.959,0.310,1.33
1788403293.19,-15.0,center,0,348,219,0.275,6.3,-6.2,-0.001,0.287,0.958,-0.309,1.22
1788403293.52,-15.0,center,1,348,218,0.275,6.3,-6.5,0.008,0.282,0.959,-0.306,1.17
1788403293.84,-15.0,center,2,348,219,0.275,9.5,-4.2,0.006,-0.299,-0.954,0.306,1.08
1788403294.20,-15.0,center,3,348,219,0.276,7.1,-6.8,-0.001,0.291,0.957,-0.308,1.17
1788403294.54,-15.0,center,4,348,219,0.275,8.1,-7.8,-0.001,0.299,0.954,-0.306,1.16
1788403294.86,-15.0,center,5,348,219,0.275,0.0,0.0,-0.001,0.298,0.955,-0.306,1.22
1788403425.11,30.0,center,0,331,209,0.277,-15.3,14.7,-0.001,0.299,0.954,-0.306,1.11
1788403425.42,30.0,center,1,332,209,0.277,-20.0,19.2,0.002,0.294,0.956,-0.308,1.10
1788403425.71,30.0,center,2,331,209,0.277,-21.8,22.8,-0.001,0.288,0.958,-0.309,1.06
1788403426.09,30.0,center,3,331,210,0.277,-18.4,18.1,-0.001,0.271,0.963,-0.311,1.08
1788403426.42,30.0,center,4,331,209,0.277,-21.0,17.7,0.001,0.294,0.956,-0.308,1.04
1788403426.75,30.0,center,5,332,209,0.277,-18.4,17.7,0.004,0.301,0.953,-0.307,1.05
1788403587.44,-30.0,center,0,352,225,0.274,28.3,-25.5,-0.002,0.283,0.959,-0.310,1.08
1788403587.74,-30.0,center,1,352,225,0.274,15.9,-24.2,0.004,0.295,0.955,-0.308,1.06
1788403588.08,-30.0,center,2,352,225,0.274,18.4,-21.6,-0.001,0.293,0.956,-0.308,1.06
1788403588.45,-30.0,center,3,352,225,0.274,18.4,-24.2,-0.001,0.293,0.956,-0.308,1.04
1788403588.80,-30.0,center,4,352,225,0.274,23.2,-24.3,-0.001,0.282,0.959,-0.309,1.04
1788403589.16,-30.0,center,5,352,225,0.274,18.4,-23.0,0.002,0.283,0.959,-0.310,1.07
1788403693.00,-30.0,center,0,351,225,0.274,26.6,-26.4,-0.002,0.289,0.957,-0.308,1.04
1788403693.29,-30.0,center,1,352,224,0.274,15.9,-28.1,-0.003,0.288,0.958,-0.309,1.10
1788403693.59,-30.0,center,2,352,224,0.274,28.3,-27.7,-0.012,0.275,0.961,-0.310,1.05
1788403693.92,-30.0,center,3,351,225,0.274,28.3,-28.2,0.000,0.290,0.957,-0.309,1.05
1788403694.21,-30.0,center,4,351,224,0.274,28.3,-28.3,-0.005,-0.287,-0.958,0.308,1.09
1788403694.53,-30.0,center,5,352,225,0.274,26.6,-26.5,-0.001,0.294,0.956,-0.308,1.04
1788403808.81,-30.0,center,0,352,225,0.274,28.3,-29.5,0.004,-0.278,-0.961,0.309,1.06
1788403809.14,-30.0,center,1,352,225,0.274,28.3,-28.1,0.002,-0.287,-0.958,0.309,1.01
1788403809.46,-30.0,center,2,352,225,0.274,14.0,-15.3,-0.006,0.282,0.960,-0.309,1.15
1788403809.81,-30.0,center,3,352,225,0.274,28.3,-28.3,-0.001,0.299,0.954,-0.306,1.03
1788403810.16,-30.0,center,4,352,225,0.274,28.3,-28.3,0.006,0.285,0.958,-0.310,1.07
1788403810.51,-30.0,center,5,352,225,0.274,28.3,-28.0,0.012,-0.293,-0.956,0.306,1.01
1788403870.29,-30.0,center,0,352,226,0.274,28.3,-28.3,0.000,0.292,0.956,-0.308,1.07
1788403870.64,-30.0,center,1,352,225,0.274,28.3,-28.4,0.002,0.297,0.955,-0.307,1.01
1788403871.01,-30.0,center,2,352,226,0.274,18.4,-19.5,-0.001,0.289,0.957,-0.308,1.17
1788403871.35,-30.0,center,3,352,225,0.274,28.3,-28.2,-0.002,0.287,0.958,-0.309,1.01
1788403871.69,-30.0,center,4,352,225,0.274,26.6,-26.4,-0.003,0.293,0.956,-0.308,1.00
1788403872.00,-30.0,center,5,352,225,0.274,28.3,-28.3,0.001,0.294,0.956,-0.308,1.03
1788404009.98,-30.0,baseL,0,302,227,0.274,11.3,-24.2,-0.006,0.292,0.956,-0.308,1.10
1788404010.28,-30.0,baseL,1,303,227,0.274,9.5,-23.5,-0.005,0.293,0.956,-0.308,1.15
1788404010.60,-30.0,baseL,2,303,227,0.274,12.5,-27.2,-0.001,0.287,0.958,-0.308,1.11
1788404010.94,-30.0,baseL,3,303,227,0.274,9.5,-23.7,0.003,0.290,0.957,-0.308,1.15
1788404011.31,-30.0,baseL,4,303,227,0.274,9.5,-23.9,0.010,0.290,0.957,-0.307,1.18
1788404011.67,-30.0,baseL,5,303,226,0.274,11.3,-26.3,-0.018,0.292,0.956,-0.306,1.12
1788404022.40,-30.0,baseR,0,402,237,0.271,-45.0,-25.6,-0.000,0.282,0.959,-0.310,1.10
1788404022.78,-30.0,baseR,1,401,237,0.272,33.7,-21.1,0.002,0.283,0.959,-0.309,1.02
1788404023.11,-30.0,baseR,2,401,237,0.271,38.7,-25.2,-0.012,-0.278,-0.961,0.308,1.11
1788404023.44,-30.0,baseR,3,401,237,0.272,37.9,-25.3,-0.006,-0.285,-0.958,0.308,1.07
1788404024.39,-30.0,baseR,4,401,237,0.271,38.7,-25.2,-0.001,0.295,0.955,-0.308,1.08
